[00:01:01] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:146.96, Pre:N/A, Post:N/A) | Calculated: 6.8264 | Diff: N/A
[03:06:11] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:07:21] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:08:29] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:09:38] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:10:47] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:11:55] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:13:04] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:14:14] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:15:23] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:16:32] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:17:40] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:18:49] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:19:58] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:21:07] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:22:15] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:23:24] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:24:33] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:25:42] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:26:50] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:27:59] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:29:08] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:30:16] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:31:26] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:32:35] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 0.14%
[03:33:43] OCR Snapshot: 6.8703 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:147.80) | Calculated: 6.8654 | Diff: 0.07%
[03:34:56] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:36:04] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:37:13] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:38:21] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:39:29] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:40:39] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:41:49] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:42:57] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:44:06] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:45:15] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:46:25] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:47:34] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:48:43] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:49:52] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:51:02] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:52:10] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:53:18] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:54:26] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:55:34] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:148.11) | Calculated: 6.8798 | Diff: 1.19%
[03:56:43] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:57:51] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[03:59:01] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:00:11] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:01:20] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:02:28] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:03:36] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:04:44] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:05:52] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:07:00] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:08:08] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:09:17] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:10:25] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:11:34] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:12:42] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:13:49] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:14:57] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:16:06] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:17:14] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:18:23] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:19:31] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:20:39] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:21:47] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:22:55] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:24:03] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:25:11] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:26:19] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:27:27] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:28:37] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:29:45] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:30:53] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:32:01] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:33:09] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:34:17] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:35:25] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:36:34] OCR Snapshot: 6.7980 | USD/KZT: 464.16 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8027 | Diff: 0.07%
[04:37:42] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:38:51] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:40:00] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:41:08] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:42:17] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:43:25] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:44:34] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:45:42] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:46:50] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:47:58] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:49:06] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:50:15] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:51:23] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:52:32] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:53:41] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:54:49] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:55:57] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:57:05] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:58:13] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[04:59:21] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:00:30] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:01:38] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:02:46] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:03:54] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:05:02] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:06:10] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:07:18] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:08:26] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:09:35] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:10:43] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:11:52] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:13:00] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:14:08] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:15:17] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:16:25] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:17:33] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:18:41] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:19:49] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:20:58] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:22:06] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:23:14] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:24:22] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:25:30] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:26:38] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:27:47] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:28:55] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:30:03] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:31:11] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:32:19] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:33:27] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:34:35] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:35:43] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:36:51] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:37:59] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:39:08] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:40:16] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:41:24] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:42:33] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:43:41] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:44:50] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:45:58] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:47:07] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:48:15] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:49:25] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:50:33] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:51:41] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:52:49] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:54:03] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:55:11] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:56:20] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:57:28] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:58:36] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[05:59:44] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[06:00:52] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[06:02:00] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[06:03:08] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[06:04:16] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[06:05:24] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
[06:06:32] OCR Snapshot: 6.7980 | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: 0.14%
