[07:42:55] OCR Snapshot: N/A | USD/KZT: 464.50 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.8078 | Diff: N/A
[12:45:42] OCR Snapshot: 6.7468 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
[12:46:50] OCR Snapshot: 6.7468 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
[12:47:58] OCR Snapshot: 6.7468 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
[12:49:07] OCR Snapshot: 6.7468 | USD/KZT: 460.85 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7541 | Diff: 0.11%
[12:50:16] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:51:24] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:52:32] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:53:44] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:54:52] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:56:01] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:57:09] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:58:17] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[12:59:26] OCR Snapshot: 6.7468 | USD/KZT: 462.14 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7732 | Diff: 0.39%
[13:00:46] OCR Snapshot: 6.7468 | USD/KZT: 461.74 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7673 | Diff: 0.30%
[13:01:59] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:03:08] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:04:16] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:05:24] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:06:33] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:07:41] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:08:49] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:09:57] OCR Snapshot: 6.7468 | USD/KZT: 461.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7666 | Diff: 0.29%
[13:11:06] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:12:14] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:13:23] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:14:31] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:15:39] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:16:48] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:17:56] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:19:04] OCR Snapshot: 6.7468 | USD/KZT: 461.71 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7669 | Diff: 0.30%
[13:20:13] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:21:23] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:22:31] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:23:40] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:24:48] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:25:56] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:27:05] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:28:13] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:29:21] OCR Snapshot: 6.7468 | USD/KZT: 460.81 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7537 | Diff: 0.10%
[13:30:30] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:31:38] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:32:46] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:33:55] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:35:03] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:36:11] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:37:20] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:38:27] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:39:38] OCR Snapshot: 6.7468 | USD/KZT: 461.93 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7700 | Diff: 0.34%
[13:40:47] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:41:56] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:43:05] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:44:14] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:45:22] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:46:32] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:47:40] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:48:48] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:49:56] OCR Snapshot: 6.7468 | USD/KZT: 460.26 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7456 | Diff: 0.02%
[13:51:04] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[13:52:12] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[13:53:20] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[13:54:29] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[13:55:38] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[13:56:48] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[13:57:55] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[13:59:04] OCR Snapshot: 6.7468 | USD/KZT: 459.92 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7405 | Diff: 0.09%
[14:00:12] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:01:21] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:02:31] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:N/A) | Calculated: 6.7474 | Diff: 0.01%
[14:03:39] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:04:47] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:05:55] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:07:03] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:08:12] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:09:21] OCR Snapshot: 6.7468 | USD/KZT: 460.38 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7474 | Diff: 0.01%
[14:10:31] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:11:40] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:12:49] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:13:57] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:15:06] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:16:16] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:17:25] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:18:36] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7512 | Diff: 0.07%
[14:19:45] OCR Snapshot: 6.7468 | USD/KZT: 460.64 | FRHC: (Live:148.11, Pre:N/A, Post:N/A) | Calculated: 6.7512 | Diff: 0.07%
[14:20:54] OCR Snapshot: 6.7468 | USD/KZT: 460.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7497 | Diff: 0.04%
[14:22:03] OCR Snapshot: 6.7468 | USD/KZT: 460.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7497 | Diff: 0.04%
[14:23:11] OCR Snapshot: 6.7468 | USD/KZT: 460.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7497 | Diff: 0.04%
[14:24:20] OCR Snapshot: 6.7468 | USD/KZT: 460.49 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7489 | Diff: 0.03%
[14:25:30] OCR Snapshot: 6.7468 | USD/KZT: 460.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7497 | Diff: 0.04%
[14:26:39] OCR Snapshot: 6.7468 | USD/KZT: 460.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7497 | Diff: 0.04%
[14:27:48] OCR Snapshot: 6.7468 | USD/KZT: 460.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7497 | Diff: 0.04%
[14:28:57] OCR Snapshot: 6.7468 | USD/KZT: 460.01 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7419 | Diff: 0.07%
[14:30:05] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:31:15] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:32:24] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:33:33] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:34:42] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:35:51] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:37:02] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:38:11] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:39:20] OCR Snapshot: 6.7468 | USD/KZT: 460.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7440 | Diff: 0.04%
[14:40:28] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:41:37] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:42:46] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:43:55] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:45:04] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:46:15] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:47:24] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:48:33] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:49:42] OCR Snapshot: 6.7468 | USD/KZT: 459.55 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7351 | Diff: 0.17%
[14:50:51] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[14:52:00] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[14:53:09] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[14:54:18] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[14:55:26] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[14:56:35] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[14:57:44] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[14:58:51] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[15:00:00] OCR Snapshot: 6.7468 | USD/KZT: 459.61 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7360 | Diff: 0.16%
[15:01:09] OCR Snapshot: 6.7468 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.48%
[15:02:17] OCR Snapshot: 6.7468 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.48%
[15:03:26] OCR Snapshot: 6.7468 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.48%
[15:04:34] OCR Snapshot: 6.7468 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.48%
[15:05:43] OCR Snapshot: 6.7029 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.18%
[15:06:52] OCR Snapshot: 6.7029 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.18%
[15:08:00] OCR Snapshot: 6.7029 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.18%
[15:09:08] OCR Snapshot: 6.7029 | USD/KZT: 458.15 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7147 | Diff: 0.18%
[15:10:16] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:11:25] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:12:33] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:13:41] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:14:49] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:15:58] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:17:07] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:18:15] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:19:23] OCR Snapshot: 6.7029 | USD/KZT: 457.57 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7062 | Diff: 0.05%
[15:20:31] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:21:39] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:22:47] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:23:56] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:25:05] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:26:13] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:27:21] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:28:30] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:29:38] OCR Snapshot: 6.7029 | USD/KZT: 457.60 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7065 | Diff: 0.05%
[15:30:46] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:31:55] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:33:03] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:34:12] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:35:20] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:36:29] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:37:37] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:38:44] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:39:53] OCR Snapshot: 6.7029 | USD/KZT: 457.17 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7002 | Diff: 0.04%
[15:41:01] OCR Snapshot: 6.7029 | USD/KZT: 457.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7080 | Diff: 0.08%
[15:42:10] OCR Snapshot: 6.7029 | USD/KZT: 457.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7080 | Diff: 0.08%
[15:43:18] OCR Snapshot: 6.7029 | USD/KZT: 457.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7080 | Diff: 0.08%
[15:44:26] OCR Snapshot: 6.7029 | USD/KZT: 457.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7080 | Diff: 0.08%
[15:45:35] OCR Snapshot: 6.7029 | USD/KZT: 457.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7080 | Diff: 0.08%
[15:46:43] OCR Snapshot: 6.7029 | USD/KZT: 457.69 | FRHC: (Live:148.11, Pre:N/A, Post:146.56) | Calculated: 6.7080 | Diff: 0.08%
