[00:01:10] OCR Snapshot: 6.9787 | USD/KZT: 459.80 | FRHC: (Live:153.07, Pre:N/A, Post:N/A) | Calculated: 7.0382 | Diff: 0.84%
[03:10:58] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:12:10] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:13:24] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:14:37] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:15:53] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:17:06] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:18:20] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:19:36] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:20:49] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:22:06] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:23:22] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:24:39] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:25:55] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:27:12] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:28:32] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:29:49] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:31:06] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:32:23] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:33:39] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:34:56] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:36:12] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:37:29] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:38:48] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:40:08] OCR Snapshot: 6.9426 | USD/KZT: 460.11 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9844 | Diff: 0.60%
[03:41:24] OCR Snapshot: 6.9426 | USD/KZT: 461.32 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0029 | Diff: 0.86%
[03:42:44] OCR Snapshot: 6.9426 | USD/KZT: 461.32 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0029 | Diff: 0.86%
[03:44:01] OCR Snapshot: 6.9426 | USD/KZT: 461.32 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0029 | Diff: 0.86%
[03:45:18] OCR Snapshot: 6.9426 | USD/KZT: 461.32 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0029 | Diff: 0.86%
[03:46:34] OCR Snapshot: 6.9426 | USD/KZT: 461.32 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0029 | Diff: 0.86%
[03:47:51] OCR Snapshot: 6.9426 | USD/KZT: 461.32 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0029 | Diff: 0.86%
[03:49:08] OCR Snapshot: 6.9426 | USD/KZT: 461.32 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0029 | Diff: 0.86%
[03:50:28] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[03:51:45] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[03:53:01] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[03:54:21] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[03:55:37] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[03:56:57] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[03:58:16] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[03:59:33] OCR Snapshot: 6.9426 | USD/KZT: 461.31 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0026 | Diff: 0.86%
[04:00:48] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:02:02] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:03:19] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:04:35] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:05:49] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:07:06] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:08:22] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:09:39] OCR Snapshot: 6.9426 | USD/KZT: 461.25 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0019 | Diff: 0.85%
[04:10:55] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:12:11] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:13:24] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:14:38] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:15:55] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:17:11] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:18:28] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:19:45] OCR Snapshot: 6.9426 | USD/KZT: 461.49 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0053 | Diff: 0.90%
[04:21:01] OCR Snapshot: 6.9426 | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: 0.88%
[04:22:17] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:23:31] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:24:47] OCR Snapshot: N/A | USD/KZT: 461.14 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0001 | Diff: N/A
[04:26:04] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:27:24] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:28:38] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:29:55] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:31:11] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0047 | Diff: N/A
[04:32:28] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0047 | Diff: N/A
[04:33:47] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0047 | Diff: N/A
[04:35:04] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0047 | Diff: N/A
[04:36:20] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0047 | Diff: N/A
[04:37:37] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0047 | Diff: N/A
[04:38:57] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0047 | Diff: N/A
[04:40:10] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:41:24] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:42:40] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:43:54] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:45:10] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:46:27] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:47:42] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:48:56] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[04:50:12] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[04:51:26] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[04:52:43] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[04:53:59] OCR Snapshot: N/A | USD/KZT: 461.17 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0006 | Diff: N/A
[04:55:15] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[04:56:32] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[04:57:48] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[04:59:08] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:00:24] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:01:38] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:02:54] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:04:11] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:05:24] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:06:40] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:07:57] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:09:10] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[05:10:24] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:11:37] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:12:56] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:14:12] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:15:28] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:16:41] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:17:58] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:19:14] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:20:30] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:21:44] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:23:00] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:24:17] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:25:33] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:26:49] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:28:06] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:29:22] OCR Snapshot: N/A | USD/KZT: 461.46 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0050 | Diff: N/A
[05:30:36] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:31:53] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:33:09] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:34:22] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:35:39] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:36:55] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:38:15] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:39:31] OCR Snapshot: N/A | USD/KZT: 461.52 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0059 | Diff: N/A
[05:40:48] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:42:05] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:43:21] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:44:38] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:45:55] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:47:12] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:48:24] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:49:40] OCR Snapshot: N/A | USD/KZT: 461.48 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0052 | Diff: N/A
[05:50:53] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[05:52:09] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[05:53:22] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[05:54:35] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[05:55:50] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[05:57:03] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[05:58:16] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[05:59:32] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:00:44] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:01:57] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:03:10] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:04:23] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:05:39] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:06:52] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:08:05] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:09:18] OCR Snapshot: N/A | USD/KZT: 461.44 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0046 | Diff: N/A
[06:10:34] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:11:49] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:13:02] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:14:15] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:15:28] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:16:44] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:17:57] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:19:13] OCR Snapshot: N/A | USD/KZT: 461.10 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 6.9995 | Diff: N/A
[06:20:27] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:21:45] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:22:58] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:24:11] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:25:27] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:26:40] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:27:53] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:29:06] OCR Snapshot: N/A | USD/KZT: 461.50 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0055 | Diff: N/A
[06:30:18] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:31:31] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:32:43] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:33:56] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:35:09] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:36:22] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:37:35] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
[06:38:49] OCR Snapshot: N/A | USD/KZT: 461.45 | FRHC: (Live:152.00, Pre:N/A, Post:151.80) | Calculated: 7.0049 | Diff: N/A
